# YYYYMM,CRUISE_CODE,SITE_NAME,LAT,LON,DATE_TIME_XLS_LOCAL,DATE_TIME_XLS_UTC,YYYYMMDD_UTC,YYYY,MM,DD,DOY_UTC,TIME_DECIMAL_UTC,TIME_HH_DECMM_UTC,_SALINITY,TCHL_A,TSS,NAP,A_PHY_STAR_440NM,A_PHY_STAR_676NM,A_PHY_STAR_440NM_676NM,A_PHY_STAR_380NM_440NM,A_PHY_STAR_400NM_440NM,A_CDOM_SLOPE,A_CDOM_440NM,A_NAP_STAR_440NM,A_NAP_SLOPE,BB_NAP_STAR_555NM,BB_NAP_SLOPE,B_NAP_STAR_555NM,BB_B_RATIO,TSS_ORG,PHY_MICRO,PHY_NANO,PHY_PICO,PHY_SIZE_IND,COUNT_999
200210,AO02,SAT001,-18.2671667,147.2971667,37550.42361,37550.00694,20021021,2002,10,21,294,0.0069444,0.1666667,35.23,0.0536131,0.9,0.8962471,0.1443948,0.0309922,4.6590686,0.7115582,0.8317407,-0.0111252,0.0553403,0.0055336,-0.0108145,0.1880522,2.910709,0.0358889,-999,-999,0,0.2309555,0.7690445,1.923822,0
200210,AO02,SAT010,-18.2488333,147.2846667,37551.39583,37550.97917,20021021,2002,10,21,294,0.9791667,23.5,-999,0.1787848,1.8,1.7874851,0.1463553,0.0351986,4.1579881,0.5695006,0.6347225,-0.0107195,0.0828788,0.0021077,-0.0092078,0.00123,1.700763,0.0715,0.0169488,-999,0.0555233,0.2196537,0.724823,4.5992544,0
200210,AO02,SAT004/5,-18.2891667,147.3898333,37551.6875,37551.27083,20021022,2002,10,22,295,0.2708333,6.5,35.25,0.088892,1.5,1.4937776,0.1483964,0.0371409,3.995502,0.6219724,0.7460298,-0.0088658,0.0671092,0.0030667,-0.0110193,0.006404,3.110659,0.0624,0.100556,-999,0,0.1821491,0.8178509,1.7285964,0
200210,AO02,SAT007,-19.3875,148.0631667,37552.47917,37552.0625,20021023,2002,10,23,296,0.0625,1.5,35.36,0.0910308,1.8,1.7936278,0.1399995,0.0360631,3.8820751,0.5812865,0.7058021,-0.0108644,0.0293814,0.0011989,-0.011787,0.0008739,1.682567,0.0398889,0.0213349,-999,0.1005576,0.3891072,0.5103352,7.4837534,0
200210,AO02,SAT008,-19.3811667,148.0695,37552.62847,37552.21181,20021023,2002,10,23,296,0.2118056,5.0833333,-999,0.1999136,1.6,1.5860061,-999,-999,-999,-999,-999,-0.0195103,0.0137412,0.0033839,-0.0090452,-999,-999,0.0724375,-999,-999,0.0816137,0.2110553,0.707331,5.8432941,3
200210,AO02,SAT008b,-19.198,148.143,37553.45833,37553.04167,20021024,2002,10,24,297,0.0416667,1,35.35,0.1343393,1.9,1.8905962,0.1167069,0.0350773,3.3271298,0.6364792,0.682332,-999,-999,0.003144,-0.0101675,-999,-999,-999,-999,-999,0.1375359,0.1414316,0.7210325,8.3049853,4
200210,AO02,SAT009,-19.3515,148.2148333,37553.63125,37553.21458,20021024,2002,10,24,297,0.2145833,5.15,35.43,0.2145408,1.6,1.5849821,0.0947419,0.0315844,2.9996426,0.5788351,0.6903198,-999,-999,0.001623,-0.0110829,0.0028575,0.597015,0.0825,0.0341375,-999,0.2293919,0.2973041,0.4733039,13.4294204,2
200211,AO02,SAT011,-20.0083333,149.1486667,37554.44444,37554.02778,20021025,2002,10,25,298,0.0277778,0.6666667,35.36,0.132575,1.8,1.7907197,0.0963876,0.0274389,3.5128078,0.5585175,0.668135,-0.0151711,0.0329807,0.0020637,-0.0095086,0.0044667,3.105903,0.0472778,0.0923832,-999,0.0796927,0.325259,0.5950482,6.20598,0
200212,AO02,SAT012,-20.1261667,148.7518333,37554.625,37554.20833,20021025,2002,10,25,298,0.2083333,5,35.63,0.3561693,1.8,1.7750681,0.0710045,0.0213969,3.31845,1.0886652,0.7511103,-0.0089836,0.0957313,0.0096916,-0.0115033,0.0041472,0.655281,0.2153333,0.0191642,-999,0.0707434,0.1403492,0.7889074,5.0278215,0
200213,AO02,SAT014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35.73,0.3920181,4.9,4.8725587,0.0679495,0.0237058,2.8663688,0.6663455,0.7040388,-0.0151087,0.0243237,0.0210634,-0.0134867,0.0072231,0.865446,0.3829796,0.0188408,-999,0.2700506,0.1542679,0.5756815,14.8495503,0
200214,AO02,SAT015,-20.5836667,148.7493333,37556.38194,37555.96528,20021026,2002,10,26,299,0.9652778,23.1666667,35.91,0.2414662,4.2,4.1830974,0.0958486,0.0268925,3.5641456,0.7742411,0.7987481,-0.0093709,0.1150579,0.0128527,-0.0125063,0.0081293,0.897198,0.2035238,0.0398527,-999,0.0802797,0.1389395,0.7807808,5.4894625,0
200215,AO02,SAT016,-20.7125,148.9615,37556.47569,37556.05903,20021027,2002,10,27,300,0.0590278,1.4166667,35.72,0.2568087,4.2,4.1820234,0.1052353,0.0272845,3.8569672,0.899089,0.872327,-0.011318,0.0425075,0.0105835,-0.0127546,0.0036998,2.860622,0.2185238,0.0168952,-999,0.1392564,0.1120009,0.7487427,8.2715675,0
200216,AO02,SAT017,-20.6948333,149.1576667,37556.60417,37556.1875,20021027,2002,10,27,300,0.1875,4.5,35.63,0.288427,3.7,3.6798101,0.087988,0.0255726,3.4407165,0.7045576,0.7653657,-0.0146327,0.0229477,0.0064773,-0.0125591,0.0038581,0.539705,0.1585135,0.0242595,-999,0.1426928,0.154147,0.7031602,8.608535,0
200217,AO02,SAT018,-20.4566667,149.0558333,37557.34722,37556.93056,20021027,2002,10,27,300,0.9305556,22.3333333,35.65,0.2038126,3.9,3.8857331,0.0931043,0.0274024,3.3976655,1.1249634,1.1080506,-0.0193609,0.0173818,0.0069583,-0.0125608,0.0048521,0.611891,0.1267692,0.0381259,-999,0.1611254,0.1692358,0.6696388,9.5720891,0
200218,AO02,SAT019,-20.3563333,149.1211667,37557.42708,37557.01042,20021028,2002,10,28,301,0.0104167,0.25,35.54,0.3808117,4.2,4.1733432,0.0841667,0.0264879,3.177551,0.5503387,0.6542347,-0.018554,0.0158888,0.0043094,-0.011276,0.0016876,0.873082,0.0877619,0.0191294,-999,0.1457675,0.2502082,0.6040242,9.1434424,0
200219,AO02,SAT020,-20.2913333,148.818,37557.59722,37557.18056,20021028,2002,10,28,301,0.1805556,4.3333333,35.8,0.4026223,3.4,3.3718164,0.0823842,0.0240534,3.4250515,0.6980314,0.7284908,-0.0228854,0.0178486,0.0098842,-0.0126548,0.0040682,0.81203,0.2131471,0.0190359,-999,0.1275416,0.2007806,0.6716777,8.0526617,0
200220,AO02,SAT021,-20.182,148.6671667,37557.68403,37557.26736,20021028,2002,10,28,301,0.2673611,6.4166667,35.82,0.5053422,4.6,4.564626,0.0966514,0.0289203,3.3419893,0.76978,0.7933868,-0.0145197,0.0358658,0.0117543,-0.0124189,0.0048924,1.308582,0.2483913,0.0196631,-999,0.164194,0.2099419,0.6258641,9.885272,0
200221,AO02,SAT023,-20.1793333,148.6678333,37558.37847,37557.96181,20021028,2002,10,28,301,0.9618056,23.0833333,35.88,0.5503835,4.7,4.6614732,0.0893453,0.0258418,3.4573975,0.8280966,0.8348173,-0.0135211,0.049115,0.0167292,-0.0140885,-999,-999,-999,-999,-999,0.2054086,0.1592185,0.635373,11.7018945,2
200222,AO02,SAT024,-19.9998333,148.4311667,37558.48264,37558.06597,20021029,2002,10,29,302,0.0659722,1.5833333,35.95,0.5826008,4.2,4.1592179,0.0848063,0.0276578,3.0662687,0.7785867,0.7824832,-0.0289561,0.0088202,0.0131014,-0.0135921,0.0060129,0.823365,0.3247857,0.0184872,-999,0.2483355,0.212494,0.5391705,14.0184179,0
200223,AO02,SAT025,-19.7588333,147.7385,37558.75694,37558.34028,20021029,2002,10,29,302,0.3402778,8.1666667,36.36,1.3882932,10.9,10.8028195,0.0709463,0.0219786,3.2279706,0.897324,0.8425319,-0.0164768,0.0820936,0.0273791,-0.0132774,0.0079066,0.771586,0.3950734,0.020004,-999,0.3208253,0.1202908,0.5588838,17.201605,0
200309,FK03,FK01,-23.3859333,150.5619167,37869.35278,37868.93611,20030904,2003,9,4,247,0.9361111,22.4666667,29.1,7.28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.940146,0,0.0309503,-999,-999,-999,-999,-999,8
200309,FK03,FK02,-23.4781167,150.6274833,37869.45834,37869.04168,20030905,2003,9,5,248,0.0416782,1,32.7,2.11,-999,-999,-999,-999,-999,-999,-999,-0.0183122,0.4705894,-999,-999,-999,0.996588,0,0.0405413,-999,-999,-999,-999,-999,6
200309,FK03,FK05,-23.5,150.895,0.6736111,0.2569444,19000100,1900,1,0,0,0.2569444,6.1666667,-999,1.5,-999,-999,0.2290501,0.0179289,12.7754612,4.0574083,2.2965167,-0.0140897,0.169665,-999,-999,-999,1.049948,0,0.0553719,-999,0.79,0.04,0.18,39.69,4
200309,FK03,FK09,-23.41835,151.15625,0.4389005,0.0222338,19000100,1900,1,0,0,0.0222338,0.5333333,36,1.27037,0.8,0.7110741,0.0243054,0.0130611,1.8608928,2.2958264,0.8802404,-0.0115848,0.0830631,0.0280795,-0.009906,0.0062962,0.42098,0.7195763,0.0087499,-999,0.22,0.09,0.7,11.96,0
200309,FK03,FK10,-23.4027,151.04595,37870.43682,37870.02015,20030906,2003,9,6,249,0.0201505,0.4833333,36.09,0.4,-999,-999,0.0703121,0.0255061,2.7566764,0.7487705,0.7355684,-0.0147627,0.0455222,-999,-999,-999,0.598425,0,0.0179193,-999,0.37,0.19,0.44,20.01,4
200309,FK03,FK11,-23.4270333,150.9906,37870.53333,37870.11667,20030906,2003,9,6,249,0.1166667,2.8,36.03,0.58,-999,-999,0.0630196,0.0194242,3.2443829,1.0420271,0.920653,-0.0135351,0.0662411,-999,-999,-999,0.585473,0,0.020409,-999,0.42,0.16,0.42,22.16,4
200309,FK03,FK15,-23.38555,150.8978333,37871.38543,37870.96876,20030906,2003,9,6,249,0.9687616,23.25,36.1,0.7436701,2.4,2.3479431,0.0502179,0.0192788,2.6048224,0.7207664,0.7424771,-0.0154498,0.0940674,0.0384267,-0.0118626,0.0162704,0.442861,0.9774271,0.0166462,-999,0.43,0.17,0.4,22.57,0
200309,FK03,FK18,-23.31985,151.1169,37871.48473,37871.06807,20030907,2003,9,7,250,0.0680671,1.6333333,36.1,0.1491773,3.8,3.7895576,0.0860194,0.0275875,3.1180518,0.8603615,0.8189113,-0.0129543,0.0352521,0.0014501,-0.0106285,0.0008095,0.371436,0.0948813,0.0085314,-999,0.34,0.12,0.55,18.12,0
